item_name	semantic_audio
guo_speech.wav_0000338560_0000422720.wav	54 707 162 516 46 803 863 863 64 1017 703 21 264 324 324 923 746 451 609 54 530 283 497 727 83 648 684 56 148 961 758 679 411 596 967 707 210 583 385 1022 379 897 981 7 711 927 362 710 198 402 698 914 30 780 686 845 549 639 365 451 190 679 1012 29 540
guo_speech.wav_0001215680_0001383040.wav	721 149 578 732 866 345 591 183 882 144 123 192 581 334 1001 451 775 967 368 312 406 1011 71 526 42 680 868 483 519 77 95 385 653 452 412 44 122 177 944 365 242 721 530 625 1005 623 248 699 797 797 140 30 47 571 401 678 436 742 531 776 610 933 933 628 52 685 745 124 600 209 860 1020 909 368 742 308 88 743 745 58 452 349 863 521 334 451 797 804 274 721 29 274 873 757 152 564 632 325 954 682 639 158 1006 88 586 892 293 6 510 942 495 300 645 914 613 830 248 790 61 973 997 565 14 190 593 930 750 99 656 693
guo_speech.wav_0002104000_0002251200.wav	13 225 6 251 691 495 850 503 654 116 946 892 835 469 830 245 778 616 297 401 0 341 42 585 383 533 88 412 676 366 650 295 125 835 780 535 302 782 179 389 379 442 26 160 14 656 656 16 243 752 788 504 714 60 316 232 374 261 17 311 686 753 250 684 112 363 59 745 643 415 983 309 701 120 690 493 800 803 863 314 834 472 936 3 3 775 574 693 41 41 274 490 490 722 17 149 485 443 637 217 12 232 78 662 654 604 334 474 775 714 574 170 13 937
guo_speech.wav_0003025920_0003165760.wav	23 674 1007 755 587 291 308 628 793 632 308 173 789 700 393 903 776 126 789 232 1003 145 630 873 155 451 411 570 774 746 208 967 214 479 783 963 188 633 539 689 363 107 943 493 349 305 400 334 434 514 650 502 688 112 257 524 824 277 349 380 934 918 565 65 283 931 996 996 561 548 904 1016 176 316 847 1003 45 464 583 1006 840 541 642 140 29 666 506 279 769 487 438 63 671 765 412 87 970 952 802 648 813 750 99 3 738 242 98 505 536
guo_speech.wav_0000475840_0000614400.wav	54 773 406 537 391 857 483 286 631 728 493 531 630 836 551 692 551 951 512 608 42 855 446 406 45 577 983 305 87 255 501 264 957 295 88 737 18 164 805 594 514 748 620 155 570 574 490 714 824 758 70 92 92 508 663 797 17 149 41 809 693 913 721 149 149 722 482 250 740 465 580 514 80 611 1020 292 652 553 618 759 12 472 973 60 112 363 347 911 705 124 49 27 623 656 720 552 412 628 302 265 412 743 192 231 754 578 961 433
guo_speech.wav_0001383040_0001497280.wav	721 686 249 542 286 287 317 724 745 45 893 414 1004 554 932 955 221 462 565 991 655 251 806 55 450 475 4 25 671 933 429 829 953 451 804 75 29 524 41 875 959 721 5 338 338 162 257 717 153 688 453 257 190 919 984 4 495 907 1020 461 329 369 946 291 484 533 461 691 813 957 152 864 24 257 749 926 95 31 754 594 187 102 734 243 417 417 417 797 540
guo_speech.wav_0002251200_0002393600.wav	913 360 535 307 144 887 559 4 63 674 456 910 642 679 457 441 432 679 574 721 875 875 844 953 581 16 185 623 162 282 484 755 309 662 459 754 8 487 249 250 538 832 662 720 46 531 185 579 327 680 919 161 735 897 257 900 639 319 6 770 423 573 62 407 414 311 226 855 989 35 800 1023 200 8 501 894 1002 517 126 560 68 302 711 201 20 664 948 231 255 237 932 724 643 251 614 414 286 82 478 774 365 451 679 190 596 13 515 99 248 500 721
guo_speech.wav_0003165760_0003302080.wav	1012 28 538 66 497 490 437 77 787 456 65 575 240 61 803 448 771 641 333 40 526 527 518 153 424 758 296 249 732 205 623 451 451 420 190 679 775 29 875 234 536 875 848 844 263 1005 365 965 99 774 750 350 103 207 882 462 792 1015 660 392 6 317 550 705 64 362 836 435 187 296 335 761 337 895 696 467 285 459 284 337 863 158 1002 635 18 773 767 894 660 636 590 703 703 454 611 553 665 618 387 947 581 804 474 441 75 721
guo_speech.wav_0000614400_0000794560.wav	1017 639 701 136 725 462 983 56 407 88 521 813 786 229 64 706 303 108 402 698 873 18 373 320 80 184 581 14 937 991 208 721 76 16 2 57 14 943 300 666 580 684 348 131 115 211 976 78 680 200 884 603 971 144 305 741 373 401 459 851 766 390 730 930 242 14 277 318 365 75 3 3 581 774 837 149 311 695 241 791 970 743 514 163 275 369 907 658 154 93 158 420 521 52 514 163 697 1011 1011 329 654 266 56 159 587 283 134 679 221 135 168 755 755 776 284 1001 76 295 1003 416 689 538 438 666 296 510 922 555 948 944 263 451 190 656 76 76 656 76 540 360
guo_speech.wav_0001503360_0001686720.wav	1005 775 965 663 774 647 647 797 797 360 560 245 71 891 961 445 766 991 1003 147 339 247 553 611 285 867 369 799 567 636 932 863 70 77 164 787 195 428 192 278 514 514 80 761 12 414 414 200 975 429 754 334 451 679 714 29 54 875 98 505 505 234 23 162 170 29 721 162 492 360 120 129 922 552 302 813 581 263 14 596 368 149 875 875 875 875 234 53 234 574 53 234 234 54 234 170 505 578 676 551 264 793 677 299 654 329 309 870 710 600 820 407 390 349 780 212 638 242 763 438 482 381 553 276 1020 757 912 337 216 810 45 769 165 645 438 666 742 60 1017 545 65 140 41
guo_speech.wav_0002394240_0002530560.wav	277 525 470 281 386 618 445 767 387 975 776 222 467 161 421 222 909 262 340 374 682 313 951 294 925 732 119 47 508 334 451 451 451 775 190 540 545 80 142 98 739 222 20 33 4 438 50 719 791 610 325 1003 528 1020 975 423 120 351 380 935 625 80 793 923 451 451 570 721 208 574 41 496 817 69 459 287 484 302 423 548 581 740 388 940 313 554 628 103 334 581 99 99 602 111 865 43 406 685 117 891 780 537 302 674 456 1005
guo_speech.wav_0003312960_0003447360.wav	54 1005 12 91 608 682 308 717 52 514 187 865 483 488 571 434 225 319 198 573 385 95 948 876 263 318 721 663 982 656 967 578 449 842 780 401 822 805 318 368 650 705 585 250 652 315 35 414 619 176 52 25 513 390 700 932 681 805 723 537 459 971 690 759 282 820 48 659 980 69 741 953 404 65 269 800 319 803 867 901 951 423 308 390 425 745 594 897 324 173 703 658 932 571 81 843 557 676 400 981 981 92 754 28
guo_speech.wav_0000795200_0000921280.wav	54 578 994 725 635 826 826 699 247 247 1000 984 958 187 594 513 390 261 1014 420 296 592 244 826 314 451 14 14 775 656 623 775 714 505 234 875 234 53 53 540 242 540 804 3 248 248 248 2 248 190 274 514 630 453 972 608 392 977 348 605 438 992 1000 892 531 390 975 975 856 6 322 377 291 393 863 677 650 388 221 614 713 878 744 542 35 874 750 729 175 59 423 518 837 937 967 290 149 540
guo_speech.wav_0001686720_0001837760.wav	913 574 937 150 460 74 935 134 88 813 227 296 995 892 397 187 453 595 734 953 565 451 190 441 714 72 53 875 234 693 500 134 263 647 936 797 162 207 331 584 951 900 74 322 497 593 318 411 864 687 930 965 214 457 149 1005 689 322 551 7 678 613 1005 644 705 381 977 684 383 319 803 586 560 901 423 548 91 537 153 235 300 209 204 577 293 531 422 382 25 865 528 1003 666 335 36 471 999 999 886 817 421 392 611 905 250 388 821 750 334 451 14 190 17 208 76 797 451
guo_speech.wav_0002530560_0002663360.wav	539 300 298 683 600 650 392 388 613 91 869 981 737 248 27 608 415 308 489 22 160 368 718 212 19 935 951 272 404 393 951 52 685 645 613 277 785 719 335 181 338 965 565 5 185 775 214 623 663 612 967 405 378 836 905 975 836 1017 1003 881 370 904 694 201 794 77 813 539 621 107 600 796 501 436 956 408 89 615 76 17 748 376 856 860 732 732 665 895 780 449 164 958 354 751 159 587 129 201 734 263 263 103 570
guo_speech.wav_0003447360_0003574720.wav	815 319 867 551 780 521 158 295 521 799 87 37 25 298 724 1021 194 372 806 854 263 365 451 190 29 234 875 505 72 234 72 53 53 105 53 536 991 837 991 991 991 991 17 360 668 46 36 445 414 995 857 453 522 856 789 975 584 882 936 334 334 797 775 29 234 234 234 29 492 913 810 5 987 1015 71 481 47 1006 658 648 758 784 994 539 1003 666 684 165 539 438 438 416 689 677 239 457 162 609 721
